boundary_state,boundary_district,ifi_district_candidates,match_status,reason
,,Bagalkotee Belagavi,IFI_ONLY,IFI district token absent from boundary exact names
,,Bagalkotee Bengaluru Urban,IFI_ONLY,IFI district token absent from boundary exact names
,,Bagalkotee Udupi,IFI_ONLY,IFI district token absent from boundary exact names
,,BagalkoteeBijapur,IFI_ONLY,IFI district token absent from boundary exact names
,,Ballari,IFI_ONLY,IFI district token absent from boundary exact names
,,Balod,IFI_ONLY,IFI district token absent from boundary exact names
,,Balodabazar-Bhatapara,IFI_ONLY,IFI district token absent from boundary exact names
,,Bandipora,IFI_ONLY,IFI district token absent from boundary exact names
,,Baramulla,IFI_ONLY,IFI district token absent from boundary exact names
,,Beed,IFI_ONLY,IFI district token absent from boundary exact names
,,Beedar,IFI_ONLY,IFI district token absent from boundary exact names
,,Belagavi,IFI_ONLY,IFI district token absent from boundary exact names
,,Bemetara,IFI_ONLY,IFI district token absent from boundary exact names
,,Bengaluru Rural,IFI_ONLY,IFI district token absent from boundary exact names
,,Bengaluru Urban,IFI_ONLY,IFI district token absent from boundary exact names
,,Bhadohi,IFI_ONLY,IFI district token absent from boundary exact names
,,Bhadradri Bhadradri Kothagudem,IFI_ONLY,IFI district token absent from boundary exact names
,,Bhadradri Bhadradri Kothagudem Bhadradri Kothagudem,IFI_ONLY,IFI district token absent from boundary exact names
,,Bhadradri Bhadradri Kothagudem kothagudem,IFI_ONLY,IFI district token absent from boundary exact names
,,Bhadradri Kothagudem,IFI_ONLY,IFI district token absent from boundary exact names
,,Bhandara Chandrapur,IFI_ONLY,IFI district token absent from boundary exact names
,,Bhubaneshwar,IFI_ONLY,IFI district token absent from boundary exact names
,,Bijapur Surendranagar,IFI_ONLY,IFI district token absent from boundary exact names
,,Biswanath,IFI_ONLY,IFI district token absent from boundary exact names
,,Botad,IFI_ONLY,IFI district token absent from boundary exact names
,,Boudh,IFI_ONLY,IFI district token absent from boundary exact names
,,Budgam,IFI_ONLY,IFI district token absent from boundary exact names
,,Buldhana,IFI_ONLY,IFI district token absent from boundary exact names
,,Central Part of Uttar Kashi Pradesh,IFI_ONLY,IFI district token absent from boundary exact names
,,Chamarajanagara,IFI_ONLY,IFI district token absent from boundary exact names
,,Chamarajanagaraa,IFI_ONLY,IFI district token absent from boundary exact names
,,Chamarajanagaraa Chikkaballapura,IFI_ONLY,IFI district token absent from boundary exact names
,,Chamarajanagaraa Chitradurga,IFI_ONLY,IFI district token absent from boundary exact names
,,Chamarajanagaraa Davangere,IFI_ONLY,IFI district token absent from boundary exact names
,,Chamarajanagaraa Gadag,IFI_ONLY,IFI district token absent from boundary exact names
,,Chamarajanagaraa Hassan,IFI_ONLY,IFI district token absent from boundary exact names
,,Chamarajanagaraa Kalaburagi,IFI_ONLY,IFI district token absent from boundary exact names
,,Charaideo,IFI_ONLY,IFI district token absent from boundary exact names
,,Charki Dadri,IFI_ONLY,IFI district token absent from boundary exact names
,,Chengalpattu,IFI_ONLY,IFI district token absent from boundary exact names
,,Chhatisgarh,IFI_ONLY,IFI district token absent from boundary exact names
,,Chikkamagaluru,IFI_ONLY,IFI district token absent from boundary exact names
,,Chikodi,IFI_ONLY,IFI district token absent from boundary exact names
,,Chittorgarh,IFI_ONLY,IFI district token absent from boundary exact names
,,Chota Udaipur,IFI_ONLY,IFI district token absent from boundary exact names
,,Chumanung,IFI_ONLY,IFI district token absent from boundary exact names
,,Cooch Behar,IFI_ONLY,IFI district token absent from boundary exact names
,,Dadra And Nagar Haveli,IFI_ONLY,IFI district token absent from boundary exact names
,,Dahod,IFI_ONLY,IFI district token absent from boundary exact names
,,Dangs,IFI_ONLY,IFI district token absent from boundary exact names
,,Darjeeling,IFI_ONLY,IFI district token absent from boundary exact names
,,Darjeelingm,IFI_ONLY,IFI district token absent from boundary exact names
,,Davangere,IFI_ONLY,IFI district token absent from boundary exact names
,,Davangere����,IFI_ONLY,IFI district token absent from boundary exact names
,,Deogarh,IFI_ONLY,IFI district token absent from boundary exact names
,,Devbhumi Dwarka,IFI_ONLY,IFI district token absent from boundary exact names
,,Devbhumi Dwarka Dwarka,IFI_ONLY,IFI district token absent from boundary exact names
,,Dharashiv,IFI_ONLY,IFI district token absent from boundary exact names
,,Dholpur,IFI_ONLY,IFI district token absent from boundary exact names
,,Different parts of Jammu,IFI_ONLY,IFI district token absent from boundary exact names
,,Districts of Cauvery delta,IFI_ONLY,IFI district token absent from boundary exact names
,,Districts of Cauvery delta zone,IFI_ONLY,IFI district token absent from boundary exact names
,,East & West Godavari,IFI_ONLY,IFI district token absent from boundary exact names
,,East & West Purba Purba Medinipur,IFI_ONLY,IFI district token absent from boundary exact names
,,East East Jaintia Hills,IFI_ONLY,IFI district token absent from boundary exact names
,,East Jaintia Hills,IFI_ONLY,IFI district token absent from boundary exact names
,,East Uttar Kashi Pradesh,IFI_ONLY,IFI district token absent from boundary exact names
,,East West Singhbhum,IFI_ONLY,IFI district token absent from boundary exact names
,,Entire village,IFI_ONLY,IFI district token absent from boundary exact names
,,Ernakulam Kannur,IFI_ONLY,IFI district token absent from boundary exact names
,,Ernakulam ant Thiruvananthapuram,IFI_ONLY,IFI district token absent from boundary exact names
,,Fazilka,IFI_ONLY,IFI district token absent from boundary exact names
,,Ferozepur,IFI_ONLY,IFI district token absent from boundary exact names
,,Few districts,IFI_ONLY,IFI district token absent from boundary exact names
,,Gadchiroli,IFI_ONLY,IFI district token absent from boundary exact names
,,Gadchiroli Yavotmal,IFI_ONLY,IFI district token absent from boundary exact names
,,Gangtok,IFI_ONLY,IFI district token absent from boundary exact names
,,Ghat area,IFI_ONLY,IFI district token absent from boundary exact names
,,Ghazipurr,IFI_ONLY,IFI district token absent from boundary exact names
,,Gir Somnath,IFI_ONLY,IFI district token absent from boundary exact names
,,Goa,IFI_ONLY,IFI district token absent from boundary exact names
,,Gomati,IFI_ONLY,IFI district token absent from boundary exact names
,,Gondia,IFI_ONLY,IFI district token absent from boundary exact names
,,Greater Kolkata area,IFI_ONLY,IFI district token absent from boundary exact names
,,Gurugram,IFI_ONLY,IFI district token absent from boundary exact names
,,Gyalshing,IFI_ONLY,IFI district token absent from boundary exact names
,,Hapur,IFI_ONLY,IFI district token absent from boundary exact names
,,Haridwar,IFI_ONLY,IFI district token absent from boundary exact names
,,Hathras,IFI_ONLY,IFI district token absent from boundary exact names
,,Heavy rains Hazaribagh,IFI_ONLY,IFI district token absent from boundary exact names
,,Hilly areas,IFI_ONLY,IFI district token absent from boundary exact names
,,Hojai,IFI_ONLY,IFI district token absent from boundary exact names
,,Hooghly,IFI_ONLY,IFI district token absent from boundary exact names
,,Howrah,IFI_ONLY,IFI district token absent from boundary exact names
,,Hyderabad & Parts of Telangana,IFI_ONLY,IFI district token absent from boundary exact names
,,Itanagar,IFI_ONLY,IFI district token absent from boundary exact names
,,Jagdalpur,IFI_ONLY,IFI district token absent from boundary exact names
,,Jagitial,IFI_ONLY,IFI district token absent from boundary exact names
,,Jalore,IFI_ONLY,IFI district token absent from boundary exact names
,,Jaloree,IFI_ONLY,IFI district token absent from boundary exact names
,,Jangoan,IFI_ONLY,IFI district token absent from boundary exact names
,,Janjgir-Champa,NORMALIZED_MATCH_REQUIRES_VERIFICATION,IFI name has a normalized boundary candidate; state and historical identity require verification
,,Jawad,IFI_ONLY,IFI district token absent from boundary exact names
,,Jayashankar Bhupalapally,IFI_ONLY,IFI district token absent from boundary exact names
,,Jhelum,IFI_ONLY,IFI district token absent from boundary exact names
,,Jhunjhunu,IFI_ONLY,IFI district token absent from boundary exact names
,,Jiribam,IFI_ONLY,IFI district token absent from boundary exact names
,,Jogulamba Gadwal,IFI_ONLY,IFI district token absent from boundary exact names
